SAMPLE_NAME	OUT_NAME	GCS_PATHS
HG02984	DeepSeq_HG02984.json	ds783_1_P1_human
HG02982	DeepSeq_HG02982.json	ds783_2_P1_human
HG02983	DeepSeq_HG02983.json	ds783_3_P1_human
