unit_length	parameter	maximum	intercept	repeat_count_coef
1	pi	0.0743842117092743	-7.75661601219467	0.372955217652482
1	tau	1	-0.162534583404583	-0.00429699292392687
1	del	1	-3.23969594468851	0.048259597415982
1	ins	0.451172711996503	-2.87213954745499	0.178122001908027
2	pi	0.0304035111351421	-7.58693234385753	0.439323059836109
2	tau	0.487950785814858	-114.875245001068	28.0441719492346
2	del	1	-1.89317520176298	0.062157129886869
2	ins	0.505271957208185	-0.766366627150865	0.123613697434511
3	pi	0.0108682944305377	-8.1594954725237	0.607571960775846
3	tau	0.618217099144872	1.16381389750234	0.0993435087769099
3	del	0.457943704087163	-3.85644209755506	0.475471891088635
3	ins	0.335877846731771	-0.457177416557448	0.378312638525717
4+	pi	0.00489770536559959	-8.17171344414008	0.906417097789372
4+	tau	0.562594922346846	-42.4848791313656	37.6853111295364
4+	del	0.428346386497375	-4.93731446895646	0.746766809029844
4+	ins	0.356923283990879	-3.54894594566448	0.949540012309184
