sample_name	merged_corrected_bam	merged_remaining_bam	merged_uncorrected_bam
NA12878rep1	gs://broad-dsde-methods-kiran/workflow_output/CorrectAndAlignWorkflow/91816865-32ce-4b6f-84f9-71676e87faf6/call-MergeCorrected/m64020_190208_213731.subreads.ccs.aligned.merged.bam	gs://broad-dsde-methods-kiran/workflow_output/CorrectAndAlignWorkflow/91816865-32ce-4b6f-84f9-71676e87faf6/call-MergeRemaining/m64020_190208_213731.subreads.ccs.uncorrected.aligned.merged.bam	gs://broad-dsde-methods-kiran/workflow_output/CorrectAndAlignWorkflow/91816865-32ce-4b6f-84f9-71676e87faf6/call-MergeUncorrected/m64020_190208_213731.subreads.aligned.merged.bam
NA12892	gs://broad-dsde-methods-kiran/workflow_output/CorrectAndAlignWorkflow/984290e4-819f-47ae-9ba6-0c458e63b506/call-MergeCorrected/m64020_190212_162420.subreads.ccs.aligned.merged.bam	gs://broad-dsde-methods-kiran/workflow_output/CorrectAndAlignWorkflow/984290e4-819f-47ae-9ba6-0c458e63b506/call-MergeRemaining/m64020_190212_162420.subreads.ccs.uncorrected.aligned.merged.bam	gs://broad-dsde-methods-kiran/workflow_output/CorrectAndAlignWorkflow/984290e4-819f-47ae-9ba6-0c458e63b506/call-MergeUncorrected/m64020_190212_162420.subreads.aligned.merged.bam
NA12878rep2	gs://broad-dsde-methods-kiran/workflow_output/CorrectAndAlignWorkflow/d9991e7f-6362-4f96-ae75-fb16e7aa743b/call-MergeCorrected/m64020_190210_035026.subreads.ccs.aligned.merged.bam	gs://broad-dsde-methods-kiran/workflow_output/CorrectAndAlignWorkflow/d9991e7f-6362-4f96-ae75-fb16e7aa743b/call-MergeRemaining/m64020_190210_035026.subreads.ccs.uncorrected.aligned.merged.bam	gs://broad-dsde-methods-kiran/workflow_output/CorrectAndAlignWorkflow/d9991e7f-6362-4f96-ae75-fb16e7aa743b/call-MergeUncorrected/m64020_190210_035026.subreads.aligned.merged.bam
NA12891	gs://broad-dsde-methods-kiran/workflow_output/CorrectAndAlignWorkflow/f06abbef-c197-4fa4-8fc0-b8ef0482f7d6/call-MergeCorrected/m64020_190211_100935.subreads.ccs.aligned.merged.bam	gs://broad-dsde-methods-kiran/workflow_output/CorrectAndAlignWorkflow/f06abbef-c197-4fa4-8fc0-b8ef0482f7d6/call-MergeRemaining/m64020_190211_100935.subreads.ccs.uncorrected.aligned.merged.bam	gs://broad-dsde-methods-kiran/workflow_output/CorrectAndAlignWorkflow/f06abbef-c197-4fa4-8fc0-b8ef0482f7d6/call-MergeUncorrected/m64020_190211_100935.subreads.aligned.merged.bam
